"utterance","correct_answer","rt","feature_type","response","correct_color","slide_number_in_experiment","feature","correct_material","object","workerid","Answer.time_in_minutes","label","item","speaker_cond"
"","['no']",NA,"['color']","[1168, 'no']","['clear']","18","['green']","['plastic']","",1,3.75171666666667,"bottle_plastic_original","['bottle']","list1"
"","['yes']",NA,"['color']","[792, 'yes']","['silver']","19","['silver']","['metal']","",1,3.75171666666667,"bowl_metal_original","['bowl']","list1"
"","['yes']",NA,"['material']","[812, 'yes']","['blue']","20","['plastic']","['plastic']","",1,3.75171666666667,"bottle_plastic_blue","['bottle']","list1"
"","['no']",NA,"['material']","[904, 'no']","['clear']","21","['metal']","['plastic']","",1,3.75171666666667,"cup_plastic_original","['cup']","list1"
"","['yes']",NA,"['color']","[1041, 'yes']","['blue']","22","['blue']","['wood']","",1,3.75171666666667,"box_wood_blue","['box']","list1"
"","['no']",NA,"['material']","[1305, 'no']","['blue']","23","['paper']","['metal']","",1,3.75171666666667,"spoon_metal_blue","['spoon']","list1"
"","['no']",NA,"['material']","[1016, 'no']","['brown']","24","['cardboard']","['wood']","",1,3.75171666666667,"chair_wood_original","['chair']","list1"
"","['yes']",NA,"['color']","[1019, 'yes']","['blue']","25","['blue']","['metal']","",1,3.75171666666667,"cup_metal_blue","['cup']","list1"
"","['yes']",NA,"['color']","[961, 'yes']","['purple']","26","['purple']","['denim']","",1,3.75171666666667,"jacket_denim_purple","['jacket']","list1"
"","['yes']",NA,"['material']","[1023, 'yes']","['white']","27","['paper']","['paper']","",1,3.75171666666667,"plate_paper_original","['plate']","list1"
"","['no']",NA,"['color']","[1472, 'no']","['brown']","28","['clear']","['wood']","",1,3.75171666666667,"spoon_wood_original","['spoon']","list1"
"","['no']",NA,"['color']","[839, 'no']","['blue']","29","['clear']","['denim']","",1,3.75171666666667,"jacket_denim_original","['jacket']","list1"
"","['yes']",NA,"['color']","[738, 'yes']","['green']","30","['green']","['glass']","",1,3.75171666666667,"bottle_glass_green","['bottle']","list1"
"","['yes']",NA,"['material']","[1100, 'yes']","['green']","31","['wood']","['wood']","",1,3.75171666666667,"chair_wood_green","['chair']","list1"
"","['no']",NA,"['material']","[887, 'no']","['brown']","32","['plastic']","['wood']","",1,3.75171666666667,"table_wood_original","['table']","list1"
"","['no']",NA,"['color']","[1151, 'no']","['purple']","33","['silver']","['metal']","",1,3.75171666666667,"chair_metal_purple","['chair']","list1"
"","['yes']",NA,"['color']","[1120, 'yes']","['purple']","34","['purple']","['leather']","",1,3.75171666666667,"jacket_leather_purple","['jacket']","list1"
"","['yes']",NA,"['material']","[920, 'yes']","['brown']","35","['paper']","['paper']","",1,3.75171666666667,"bag_paper_original","['bag']","list1"
