"utterance","rt","response","object","Answer.time_in_minutes","workerid","slide_number_in_experiment","speaker_cond"
"boot",4041,"[0.89, 1]","boot_leather_brown",2.66338333333333,11,19,"list1"
"spoon",4819,"[0.75, 0.08]","spoon_wood_blue",2.66338333333333,11,20,"list1"
"bowl",3940,"[0.79, 0.35]","bowl_metal_blue",2.66338333333333,11,21,"list1"
"cup",3706,"[0.85, 0.27]","cup_metal_blue",2.66338333333333,11,22,"list1"
"pitcher",3685,"[0.52, 0.08]","pitcher_glass_green",2.66338333333333,11,23,"list1"
"spoon",3769,"[0.94, 0.06]","spoon_plastic_green",2.66338333333333,11,24,"list1"
"pitcher",8233,"[0.87, 0.87]","pitcher_plastic_original",2.66338333333333,11,25,"list1"
"plate",6927,"[0.66, 0.08]","plate_paper_green",2.66338333333333,11,26,"list1"
"bag",7543,"[0.3, 0.69]","bag_plastic_original",2.66338333333333,11,27,"list1"
"box",6682,"[1, 1]","box_cardboard_original",2.66338333333333,11,28,"list1"
"boot",4678,"[0.96, 0.17]","boot_rubber_green",2.66338333333333,11,29,"list1"
"bot_check",0,"Jennifer","Jennifer",3.03563333333333,12,1,"list1"
"table",16071,"[0.9, 0.21]","table_wood_green",3.03563333333333,12,3,"list1"
"bottle",5608,"[1, 1]","bottle_plastic_original",3.03563333333333,12,4,"list1"
"plate",6639,"[1, 0.55]","plate_plastic_green",3.03563333333333,12,5,"list1"
"bag",4609,"[1, 0.52]","bag_paper_blue",3.03563333333333,12,6,"list1"
"boot",4496,"[1, 1]","boot_leather_brown",3.03563333333333,12,7,"list1"
"cup",3608,"[0.99, 0.99]","cup_plastic_original",3.03563333333333,12,8,"list1"
"spoon",5296,"[0.99, 0.32]","spoon_plastic_green",3.03563333333333,12,9,"list1"
"bag",4552,"[0.98, 0.99]","bag_plastic_original",3.03563333333333,12,10,"list1"
"bottle",5200,"[1, 0.62]","bottle_glass_blue",3.03563333333333,12,11,"list1"
"cup",4528,"[0.98, 0.74]","cup_metal_blue",3.03563333333333,12,12,"list1"
"spoon",3272,"[0.99, 0.97]","spoon_metal_original",3.03563333333333,12,13,"list1"
"table",4832,"[1, 0.98]","table_metal_original",3.03563333333333,12,14,"list1"
"boot",4904,"[0.99, 0.21]","boot_rubber_green",3.03563333333333,12,15,"list1"
"jacket",5559,"[0.98, 0.16]","jacket_leather_green",3.03563333333333,12,16,"list1"
"pitcher",2984,"[0.99, 0.52]","pitcher_glass_green",3.03563333333333,12,17,"list1"
"bowl",2952,"[0.98, 0.55]","bowl_glass_green",3.03563333333333,12,18,"list1"
"pitcher",3215,"[0.98, 0.61]","pitcher_metal_blue",3.03563333333333,12,19,"list1"
"box",3872,"[0.99, 0.99]","box_cardboard_original",3.03563333333333,12,20,"list1"
"spoon",4376,"[0.99, 0.68]","spoon_wood_blue",3.03563333333333,12,21,"list1"
"chair",3952,"[1, 0.18]","chair_plastic_purple",3.03563333333333,12,22,"list1"
"chair",5270,"[0.99, 0.19]","chair_metal_green",3.03563333333333,12,23,"list1"
"box",5152,"[1, 0.3]","box_wood_green",3.03563333333333,12,24,"list1"
"jacket",3880,"[0.99, 0.98]","jacket_denim_original",3.03563333333333,12,25,"list1"
"pitcher",3159,"[0.99, 0.8]","pitcher_plastic_original",3.03563333333333,12,26,"list1"
"chair",3416,"[0.99, 0.98]","chair_wood_original",3.03563333333333,12,27,"list1"
"bowl",4664,"[0.99, 0.59]","bowl_metal_blue",3.03563333333333,12,28,"list1"
"plate",4776,"[0.99, 0.29]","plate_paper_green",3.03563333333333,12,29,"list1"
"bot_check",0,"Patricia","Patricia",3.07843333333333,13,1,"list1"
"chair",10390,"[0.56, 0.12]","chair_metal_green",3.07843333333333,13,3,"list1"
"bag",63702,"[1, 0.68]","bag_paper_blue",3.07843333333333,13,4,"list1"
"pitcher",4978,"[1, 0.05]","pitcher_metal_blue",3.07843333333333,13,5,"list1"
"bottle",3370,"[1, 0.85]","bottle_glass_blue",3.07843333333333,13,6,"list1"
"plate",3571,"[1, 0.01]","plate_paper_green",3.07843333333333,13,7,"list1"
"table",3272,"[1, 0.98]","table_metal_original",3.07843333333333,13,8,"list1"
"box",3914,"[1, 0]","box_wood_green",3.07843333333333,13,9,"list1"
"table",3499,"[1, 0.04]","table_wood_green",3.07843333333333,13,10,"list1"
"bottle",3529,"[0.98, 0.97]","bottle_plastic_original",3.07843333333333,13,11,"list1"
"pitcher",3572,"[0.98, 0.96]","pitcher_plastic_original",3.07843333333333,13,12,"list1"
"pitcher",4168,"[0.98, 0.63]","pitcher_glass_green",3.07843333333333,13,13,"list1"
"bowl",2375,"[0.96, 0.74]","bowl_glass_green",3.07843333333333,13,14,"list1"
"spoon",11662,"[0.67, 0.05]","spoon_plastic_green",3.07843333333333,13,15,"list1"
"spoon",2765,"[0.99, 0.98]","spoon_metal_original",3.07843333333333,13,16,"list1"
"box",3233,"[0.98, 0.99]","box_cardboard_original",3.07843333333333,13,17,"list1"
"cup",3522,"[0.57, 0.04]","cup_metal_blue",3.07843333333333,13,18,"list1"
"jacket",3727,"[0.7, 0.21]","jacket_leather_green",3.07843333333333,13,19,"list1"
"jacket",2776,"[0.98, 0.98]","jacket_denim_original",3.07843333333333,13,20,"list1"
"bag",2958,"[0.98, 0.96]","bag_plastic_original",3.07843333333333,13,21,"list1"
"chair",2921,"[1, 0.99]","chair_wood_original",3.07843333333333,13,22,"list1"
"spoon",4085,"[0.75, 0]","spoon_wood_blue",3.07843333333333,13,23,"list1"
"cup",2974,"[0.99, 0.98]","cup_plastic_original",3.07843333333333,13,24,"list1"
"boot",2928,"[0.98, 0.97]","boot_leather_brown",3.07843333333333,13,25,"list1"
"plate",3357,"[0.95, 0.04]","plate_plastic_green",3.07843333333333,13,26,"list1"
"chair",4054,"[0.64, 0.47]","chair_plastic_purple",3.07843333333333,13,27,"list1"
"bowl",3153,"[0.76, 0.04]","bowl_metal_blue",3.07843333333333,13,28,"list1"
"boot",3125,"[0.94, 0.91]","boot_rubber_green",3.07843333333333,13,29,"list1"
"bot_check",0,"Susan","Susan",6.4114,14,1,"list1"
"boot",30236,"[0.96, 0.94]","boot_leather_brown",6.4114,14,3,"list1"
"spoon",16496,"[0.45, 0.29]","spoon_wood_blue",6.4114,14,4,"list1"
"pitcher",9571,"[0.87, 0.94]","pitcher_plastic_original",6.4114,14,5,"list1"
"pitcher",13053,"[0.95, 0.26]","pitcher_glass_green",6.4114,14,6,"list1"
"chair",11096,"[0.96, 0.43]","chair_metal_green",6.4114,14,7,"list1"
"jacket",15771,"[0.88, 0.93]","jacket_leather_green",6.4114,14,8,"list1"
"plate",8778,"[0.94, 0.44]","plate_plastic_green",6.4114,14,9,"list1"
"pitcher",7118,"[0.94, 0.25]","pitcher_metal_blue",6.4114,14,10,"list1"
"bowl",7557,"[0.93, 0.32]","bowl_metal_blue",6.4114,14,11,"list1"
"cup",7652,"[0.95, 0.28]","cup_metal_blue",6.4114,14,12,"list1"
"spoon",7608,"[0.98, 0.98]","spoon_metal_original",6.4114,14,13,"list1"
"table",8736,"[0.81, 0.1]","table_wood_green",6.4114,14,14,"list1"
"box",6167,"[0.94, 0.14]","box_wood_green",6.4114,14,15,"list1"
"bottle",5858,"[0.98, 0.36]","bottle_glass_blue",6.4114,14,16,"list1"
"jacket",8968,"[0.95, 0.94]","jacket_denim_original",6.4114,14,17,"list1"
"table",7836,"[0.92, 0.9]","table_metal_original",6.4114,14,18,"list1"
"spoon",8021,"[0.94, 0.45]","spoon_plastic_green",6.4114,14,19,"list1"
"boot",9261,"[0.93, 0.96]","boot_rubber_green",6.4114,14,20,"list1"
"chair",10569,"[0.94, 0.48]","chair_plastic_purple",6.4114,14,21,"list1"
"plate",5678,"[0.95, 0.38]","plate_paper_green",6.4114,14,22,"list1"
"bowl",6338,"[0.96, 0.47]","bowl_glass_green",6.4114,14,23,"list1"
"chair",13495,"[0.95, 0.96]","chair_wood_original",6.4114,14,24,"list1"
"bag",6407,"[0.94, 0.94]","bag_plastic_original",6.4114,14,25,"list1"
"bottle",10600,"[0.96, 0.95]","bottle_plastic_original",6.4114,14,26,"list1"
"box",4363,"[0.99, 0.99]","box_cardboard_original",6.4114,14,27,"list1"
"cup",4496,"[0.98, 0.99]","cup_plastic_original",6.4114,14,28,"list1"
"bag",7428,"[0.96, 0.23]","bag_paper_blue",6.4114,14,29,"list1"
"bot_check",0,"Jessica","Jessica",3.3139,15,1,"list2"
"bottle",17783,"[0.64, 0.23]","bottle_glass_green",3.3139,15,3,"list2"
"chair",6967,"[0.88, 0.02]","chair_wood_purple",3.3139,15,4,"list2"
"bowl",7751,"[0.87, 0.16]","bowl_metal_green",3.3139,15,5,"list2"
"boot",10584,"[0.86, 0.58]","boot_rubber_brown",3.3139,15,6,"list2"
"jacket",7130,"[0.7, 0.2]","jacket_denim_purple",3.3139,15,7,"list2"
"jacket",7496,"[0.83, 0.98]","jacket_leather_original",3.3139,15,8,"list2"
"cup",11198,"[0.83, 0.14]","cup_plastic_green",3.3139,15,9,"list2"
"plate",3769,"[0.83, 0.08]","plate_plastic_original",3.3139,15,10,"list2"
"box",5620,"[0.58, 0.73]","box_wood_original",3.3139,15,11,"list2"
"pitcher",5998,"[0.27, 0.23]","pitcher_metal_green",3.3139,15,12,"list2"
"cup",4842,"[0.69, 0.04]","cup_metal_green",3.3139,15,13,"list2"
"bag",5563,"[0.86, 0.12]","bag_plastic_blue",3.3139,15,14,"list2"
"table",5493,"[0.98, 0.98]","table_wood_original",3.3139,15,15,"list2"
"spoon",3632,"[0.98, 0.98]","spoon_plastic_original",3.3139,15,16,"list2"
"box",7279,"[0.98, 0.01]","box_cardboard_blue",3.3139,15,17,"list2"
"bowl",2966,"[0.98, 0.98]","bowl_glass_original",3.3139,15,18,"list2"
"spoon",3928,"[0.98, 0.16]","spoon_metal_blue",3.3139,15,19,"list2"
"table",4025,"[0.97, 0.07]","table_metal_blue",3.3139,15,20,"list2"
"plate",3741,"[0.99, 0.98]","plate_paper_original",3.3139,15,21,"list2"
"boot",7071,"[0.98, 0.82]","boot_leather_original",3.3139,15,22,"list2"
"spoon",7534,"[0.51, 0.25]","spoon_wood_green",3.3139,15,23,"list2"
"chair",3984,"[0.77, 0.35]","chair_plastic_green",3.3139,15,24,"list2"
"bag",6132,"[0.97, 0.08]","bag_paper_green",3.3139,15,25,"list2"
"chair",6685,"[0.73, 0.61]","chair_metal_original",3.3139,15,26,"list2"
"pitcher",4537,"[0.87, 0.1]","pitcher_plastic_blue",3.3139,15,27,"list2"
"pitcher",3094,"[0.98, 0.97]","pitcher_glass_original",3.3139,15,28,"list2"
"bottle",4185,"[0.96, 0.7]","bottle_plastic_blue",3.3139,15,29,"list2"
"bot_check",0,"Jennifer","Jennifer",1.74545,16,1,"list2"
"bowl",4513,"[0.78, 0.78]","bowl_glass_original",1.74545,16,3,"list2"
"cup",4783,"[0.26, 0.23]","cup_metal_green",1.74545,16,4,"list2"
"spoon",3417,"[0.32, 0.31]","spoon_wood_green",1.74545,16,5,"list2"
"box",4140,"[0.83, 0.23]","box_cardboard_blue",1.74545,16,6,"list2"
"chair",3758,"[0.7, 0.62]","chair_plastic_green",1.74545,16,7,"list2"
"spoon",3639,"[0.66, 0.38]","spoon_metal_blue",1.74545,16,8,"list2"
"bowl",3352,"[0.72, 0.25]","bowl_metal_green",1.74545,16,9,"list2"
"bag",3153,"[0.75, 0.56]","bag_paper_green",1.74545,16,10,"list2"
"boot",3014,"[0.83, 0.81]","boot_rubber_brown",1.74545,16,11,"list2"
"jacket",2455,"[0.96, 0.92]","jacket_leather_original",1.74545,16,12,"list2"
"table",2915,"[0.67, 0.31]","table_metal_blue",1.74545,16,13,"list2"
"cup",2454,"[0.97, 0.81]","cup_plastic_green",1.74545,16,14,"list2"
"box",3079,"[0.79, 0.81]","box_wood_original",1.74545,16,15,"list2"
"chair",2943,"[0.82, 0.19]","chair_wood_purple",1.74545,16,16,"list2"
"bottle",2665,"[0.92, 0.87]","bottle_glass_green",1.74545,16,17,"list2"
"table",2306,"[0.84, 0.84]","table_wood_original",1.74545,16,18,"list2"
"bag",2590,"[0.81, 0.19]","bag_plastic_blue",1.74545,16,19,"list2"
"plate",2496,"[0.79, 0.68]","plate_plastic_original",1.74545,16,20,"list2"
"plate",2171,"[0.83, 0.81]","plate_paper_original",1.74545,16,21,"list2"
"pitcher",2648,"[0.81, 0.25]","pitcher_metal_green",1.74545,16,22,"list2"
"pitcher",2650,"[0.83, 0.62]","pitcher_plastic_blue",1.74545,16,23,"list2"
"bottle",2106,"[0.84, 0.84]","bottle_plastic_blue",1.74545,16,24,"list2"
"chair",3236,"[0.71, 0.22]","chair_metal_original",1.74545,16,25,"list2"
"spoon",2843,"[0.88, 0.85]","spoon_plastic_original",1.74545,16,26,"list2"
"jacket",3714,"[0.71, 0.22]","jacket_denim_purple",1.74545,16,27,"list2"
"pitcher",2920,"[0.85, 0.87]","pitcher_glass_original",1.74545,16,28,"list2"
"boot",8960,"[0.85, 0.85]","boot_leather_original",1.74545,16,29,"list2"
"bot_check",0,"Linda","Linda",24.8093166666667,17,1,"list2"
"plate",13302,"[0.74, 0.91]","plate_paper_original",24.8093166666667,17,3,"list2"
"bowl",8363,"[0.93, 0.91]","bowl_glass_original",24.8093166666667,17,4,"list2"
"boot",13487,"[0.81, 0.66]","boot_rubber_brown",24.8093166666667,17,5,"list2"
"spoon",64978,"[0.74, 0.89]","spoon_plastic_original",24.8093166666667,17,6,"list2"
"bag",10569,"[0.58, 0.26]","bag_paper_green",24.8093166666667,17,7,"list2"
"boot",8823,"[0.76, 0.66]","boot_leather_original",24.8093166666667,17,8,"list2"
"box",16612,"[0.97, 0.04]","box_cardboard_blue",24.8093166666667,17,9,"list2"
"plate",14750,"[0.8, 0.18]","plate_plastic_original",24.8093166666667,17,10,"list2"
"spoon",10091,"[0.63, 0.09]","spoon_wood_green",24.8093166666667,17,11,"list2"
"table",10056,"[0.83, 0.01]","table_metal_blue",24.8093166666667,17,12,"list2"
"bag",19780,"[0.7, 0.51]","bag_plastic_blue",24.8093166666667,17,13,"list2"
"jacket",29893,"[0.86, 0.69]","jacket_denim_purple",24.8093166666667,17,14,"list2"
"bowl",40188,"[0.84, 0.02]","bowl_metal_green",24.8093166666667,17,15,"list2"
"spoon",21029,"[0.91, 0.83]","spoon_metal_blue",24.8093166666667,17,16,"list2"
"cup",10140,"[0.52, 0.03]","cup_metal_green",24.8093166666667,17,17,"list2"
"box",47701,"[0.75, 0.86]","box_wood_original",24.8093166666667,17,18,"list2"
"pitcher",6480,"[0.89, 0.96]","pitcher_glass_original",24.8093166666667,17,19,"list2"
"chair",9099,"[0.74, 0.38]","chair_metal_original",24.8093166666667,17,20,"list2"
"table",8501,"[0.94, 0.95]","table_wood_original",24.8093166666667,17,21,"list2"
"bottle",64379,"[0.79, 0.84]","bottle_glass_green",24.8093166666667,17,22,"list2"
"pitcher",15864,"[0.78, 0.46]","pitcher_plastic_blue",24.8093166666667,17,23,"list2"
"chair",60420,"[0.77, 0.28]","chair_plastic_green",24.8093166666667,17,24,"list2"
"cup",11193,"[0.76, 0.24]","cup_plastic_green",24.8093166666667,17,25,"list2"
"pitcher",10934,"[0.55, 0.03]","pitcher_metal_green",24.8093166666667,17,26,"list2"
"jacket",7596,"[0.8, 0.89]","jacket_leather_original",24.8093166666667,17,27,"list2"
"chair",6625,"[0.87, 0]","chair_wood_purple",24.8093166666667,17,28,"list2"
"bottle",74210,"[0.82, 0.73]","bottle_plastic_blue",24.8093166666667,17,29,"list2"
"bot_check",0,"Jennifer","Jennifer",2.88698333333333,18,1,"list2"
"table",8080,"[0.57, 0.41]","table_metal_blue",2.88698333333333,18,3,"list2"
"box",4270,"[0.68, 0.23]","box_cardboard_blue",2.88698333333333,18,4,"list2"
"boot",8791,"[0.75, 0.99]","boot_leather_original",2.88698333333333,18,5,"list2"
"spoon",4595,"[0.73, 0.02]","spoon_metal_blue",2.88698333333333,18,6,"list2"
"bottle",4044,"[0.74, 0.48]","bottle_plastic_blue",2.88698333333333,18,7,"list2"
"spoon",5085,"[0.76, 0.37]","spoon_wood_green",2.88698333333333,18,8,"list2"
"table",4782,"[0.66, 0.97]","table_wood_original",2.88698333333333,18,9,"list2"
"cup",3800,"[0.5, 0.23]","cup_plastic_green",2.88698333333333,18,10,"list2"
"bottle",3978,"[0.52, 0.51]","bottle_glass_green",2.88698333333333,18,11,"list2"
"bag",4637,"[0.73, 0.34]","bag_paper_green",2.88698333333333,18,12,"list2"
"jacket",5088,"[0.73, 0.2]","jacket_denim_purple",2.88698333333333,18,13,"list2"
"chair",4444,"[0.8, 0.02]","chair_wood_purple",2.88698333333333,18,14,"list2"
"box",4564,"[0.69, 0.62]","box_wood_original",2.88698333333333,18,15,"list2"
"plate",5890,"[0.69, 0.35]","plate_plastic_original",2.88698333333333,18,16,"list2"
"chair",9214,"[0.49, 0.57]","chair_metal_original",2.88698333333333,18,17,"list2"
"jacket",12049,"[0.42, 0.59]","jacket_leather_original",2.88698333333333,18,18,"list2"
"pitcher",4430,"[0.65, 0.22]","pitcher_metal_green",2.88698333333333,18,19,"list2"
"chair",5822,"[0.64, 0.2]","chair_plastic_green",2.88698333333333,18,20,"list2"
"cup",4666,"[0.74, 0]","cup_metal_green",2.88698333333333,18,21,"list2"
"bag",4885,"[0.67, 0.17]","bag_plastic_blue",2.88698333333333,18,22,"list2"
"bowl",5110,"[0.68, 0.14]","bowl_metal_green",2.88698333333333,18,23,"list2"
"spoon",10152,"[0.71, 0.98]","spoon_plastic_original",2.88698333333333,18,24,"list2"
"bowl",4341,"[0.73, 0.74]","bowl_glass_original",2.88698333333333,18,25,"list2"
"pitcher",4518,"[0.78, 0.65]","pitcher_glass_original",2.88698333333333,18,26,"list2"
"boot",5025,"[0.73, 0.48]","boot_rubber_brown",2.88698333333333,18,27,"list2"
"pitcher",3341,"[0.75, 0.41]","pitcher_plastic_blue",2.88698333333333,18,28,"list2"
"plate",6447,"[0.78, 0.97]","plate_paper_original",2.88698333333333,18,29,"list2"
"bot_check",0,"Patrica","Patricia",2.0414,19,1,"list2"
"bot_check",0,"Patrica","Patricia",2.0414,19,1,"list2"
"bot_check",0,"Patricia","Patricia",2.0414,19,1,"list2"
"bowl",6858,"[0.99, 0.99]","bowl_metal_green",2.0414,19,3,"list2"
"spoon",6839,"[0.96, 0.95]","spoon_plastic_original",2.0414,19,4,"list2"
"cup",4080,"[0.99, 0.85]","cup_plastic_green",2.0414,19,5,"list2"
"jacket",3713,"[0.97, 0.97]","jacket_leather_original",2.0414,19,6,"list2"
"spoon",5542,"[0.97, 0.81]","spoon_wood_green",2.0414,19,7,"list2"
"pitcher",6646,"[0.95, 0.98]","pitcher_glass_original",2.0414,19,8,"list2"
"box",4609,"[1, 0.76]","box_cardboard_blue",2.0414,19,9,"list2"
"bottle",3205,"[0.99, 0.97]","bottle_plastic_blue",2.0414,19,10,"list2"
"bottle",6416,"[0.98, 0.91]","bottle_glass_green",2.0414,19,11,"list2"
"spoon",3145,"[0.99, 0.99]","spoon_metal_blue",2.0414,19,12,"list2"
"table",3096,"[0.99, 0.98]","table_wood_original",2.0414,19,13,"list2"
"plate",2579,"[1, 0.88]","plate_plastic_original",2.0414,19,14,"list2"
"box",3065,"[0.97, 0.98]","box_wood_original",2.0414,19,15,"list2"
"chair",3083,"[0.99, 0.98]","chair_metal_original",2.0414,19,16,"list2"
"table",2990,"[0.99, 0.92]","table_metal_blue",2.0414,19,17,"list2"
"jacket",3183,"[0.98, 0.81]","jacket_denim_purple",2.0414,19,18,"list2"
"boot",2978,"[0.98, 0.98]","boot_rubber_brown",2.0414,19,19,"list2"
"cup",3458,"[0.98, 0.97]","cup_metal_green",2.0414,19,20,"list2"
"chair",2721,"[0.99, 0.89]","chair_plastic_green",2.0414,19,21,"list2"
"bag",2775,"[1, 0.99]","bag_plastic_blue",2.0414,19,22,"list2"
"plate",2824,"[1, 0.99]","plate_paper_original",2.0414,19,23,"list2"
"boot",3564,"[0.99, 0.98]","boot_leather_original",2.0414,19,24,"list2"
"bag",2707,"[0.98, 0.89]","bag_paper_green",2.0414,19,25,"list2"
"bowl",2538,"[0.99, 0.98]","bowl_glass_original",2.0414,19,26,"list2"
"pitcher",2884,"[1, 1]","pitcher_metal_green",2.0414,19,27,"list2"
"chair",2681,"[1, 0.68]","chair_wood_purple",2.0414,19,28,"list2"
"pitcher",2508,"[0.98, 0.99]","pitcher_plastic_blue",2.0414,19,29,"list2"
"bot_check",0,"Susan","Susan",5.59776666666667,20,1,"list2"
"cup",18210,"[0.63, 0.26]","cup_metal_green",5.59776666666667,20,3,"list2"
"bag",5720,"[0.98, 0.56]","bag_paper_green",5.59776666666667,20,4,"list2"
"box",6550,"[1, 1]","box_wood_original",5.59776666666667,20,5,"list2"
"jacket",6695,"[1, 0.16]","jacket_denim_purple",5.59776666666667,20,6,"list2"
"chair",8330,"[0.82, 0.47]","chair_plastic_green",5.59776666666667,20,7,"list2"
"bottle",4874,"[0.98, 0.71]","bottle_plastic_blue",5.59776666666667,20,8,"list2"
"chair",6615,"[0.65, 0.07]","chair_wood_purple",5.59776666666667,20,9,"list2"
"box",6304,"[0.72, 0.01]","box_cardboard_blue",5.59776666666667,20,10,"list2"
"spoon",18601,"[0.74, 0.73]","spoon_plastic_original",5.59776666666667,20,11,"list2"
"boot",3702,"[1, 1]","boot_leather_original",5.59776666666667,20,12,"list2"
"plate",10695,"[0.73, 0.98]","plate_paper_original",5.59776666666667,20,13,"list2"
"plate",7716,"[0.73, 0.53]","plate_plastic_original",5.59776666666667,20,14,"list2"
"spoon",5563,"[0.7, 0.29]","spoon_wood_green",5.59776666666667,20,15,"list2"
"chair",16878,"[0.55, 0.51]","chair_metal_original",5.59776666666667,20,16,"list2"
"pitcher",4589,"[1, 1]","pitcher_glass_original",5.59776666666667,20,17,"list2"
"boot",10904,"[0.74, 0.52]","boot_rubber_brown",5.59776666666667,20,18,"list2"
"bowl",6195,"[0.73, 0.12]","bowl_metal_green",5.59776666666667,20,19,"list2"
"bowl",4394,"[0.7, 0.74]","bowl_glass_original",5.59776666666667,20,20,"list2"
"table",4517,"[0.89, 0.05]","table_metal_blue",5.59776666666667,20,21,"list2"
"spoon",6988,"[0.66, 0.4]","spoon_metal_blue",5.59776666666667,20,22,"list2"
"bag",5291,"[0.98, 0.34]","bag_plastic_blue",5.59776666666667,20,23,"list2"
"table",4250,"[0.97, 0.99]","table_wood_original",5.59776666666667,20,24,"list2"
"pitcher",4638,"[0.64, 0.1]","pitcher_metal_green",5.59776666666667,20,25,"list2"
"jacket",4014,"[0.99, 0.96]","jacket_leather_original",5.59776666666667,20,26,"list2"
"cup",5831,"[0.99, 0.4]","cup_plastic_green",5.59776666666667,20,27,"list2"
"bottle",3345,"[0.87, 0.72]","bottle_glass_green",5.59776666666667,20,28,"list2"
"pitcher",4809,"[0.71, 0.24]","pitcher_plastic_blue",5.59776666666667,20,29,"list2"
"bot_check",0,"Margaret","Margaret",3.49581666666667,21,1,"list2"
"spoon",4588,"[0.85, 0.17]","spoon_wood_green",3.49581666666667,21,3,"list2"
"box",15515,"[0.59, 0.48]","box_cardboard_blue",3.49581666666667,21,4,"list2"
"cup",5768,"[0.95, 0.5]","cup_plastic_green",3.49581666666667,21,5,"list2"
"table",9520,"[0.96, 0.97]","table_wood_original",3.49581666666667,21,6,"list2"
"chair",15412,"[0.89, 0.74]","chair_plastic_green",3.49581666666667,21,7,"list2"
"boot",4164,"[0.93, 0.84]","boot_rubber_brown",3.49581666666667,21,8,"list2"
"bowl",5200,"[0.5, 0.64]","bowl_metal_green",3.49581666666667,21,9,"list2"
"pitcher",3412,"[1, 1]","pitcher_glass_original",3.49581666666667,21,10,"list2"
"box",3784,"[1, 1]","box_wood_original",3.49581666666667,21,11,"list2"
"chair",4860,"[0.87, 0.9]","chair_metal_original",3.49581666666667,21,12,"list2"
"plate",2632,"[0.97, 0.96]","plate_paper_original",3.49581666666667,21,13,"list2"
"bag",2964,"[0.74, 0.77]","bag_plastic_blue",3.49581666666667,21,14,"list2"
"pitcher",11408,"[0.92, 0.82]","pitcher_plastic_blue",3.49581666666667,21,15,"list2"
"bowl",2583,"[0.98, 0.99]","bowl_glass_original",3.49581666666667,21,16,"list2"
"table",5928,"[0.82, 0.48]","table_metal_blue",3.49581666666667,21,17,"list2"
"bag",4668,"[0.65, 0.6]","bag_paper_green",3.49581666666667,21,18,"list2"
"jacket",2872,"[0.92, 0.4]","jacket_denim_purple",3.49581666666667,21,19,"list2"
"plate",2480,"[0.81, 0.34]","plate_plastic_original",3.49581666666667,21,20,"list2"
"chair",36511,"[0.84, 0.23]","chair_wood_purple",3.49581666666667,21,21,"list2"
"bottle",3040,"[1, 1]","bottle_glass_green",3.49581666666667,21,22,"list2"
"bottle",2468,"[0.92, 0.91]","bottle_plastic_blue",3.49581666666667,21,23,"list2"
"boot",10192,"[1, 1]","boot_leather_original",3.49581666666667,21,24,"list2"
"spoon",3480,"[0.72, 0.15]","spoon_metal_blue",3.49581666666667,21,25,"list2"
"jacket",3232,"[1, 1]","jacket_leather_original",3.49581666666667,21,26,"list2"
"pitcher",5984,"[0.83, 0.46]","pitcher_metal_green",3.49581666666667,21,27,"list2"
"spoon",7059,"[1, 1]","spoon_plastic_original",3.49581666666667,21,28,"list2"
"cup",3888,"[0.78, 0.26]","cup_metal_green",3.49581666666667,21,29,"list2"
"bot_check",0,"Linda","Linda",2.05676666666667,22,1,"list2"
"chair",5857,"[0.74, 0.06]","chair_plastic_green",2.05676666666667,22,3,"list2"
"bottle",8104,"[0.93, 0.5]","bottle_glass_green",2.05676666666667,22,4,"list2"
"chair",3801,"[0.49, 0.78]","chair_metal_original",2.05676666666667,22,5,"list2"
"pitcher",2752,"[1, 1]","pitcher_glass_original",2.05676666666667,22,6,"list2"
"pitcher",7225,"[0.34, 0.11]","pitcher_metal_green",2.05676666666667,22,7,"list2"
"boot",2768,"[1, 1]","boot_leather_original",2.05676666666667,22,8,"list2"
"plate",2608,"[1, 1]","plate_paper_original",2.05676666666667,22,9,"list2"
"spoon",4153,"[1, 0.17]","spoon_metal_blue",2.05676666666667,22,10,"list2"
"pitcher",3529,"[0.94, 0.29]","pitcher_plastic_blue",2.05676666666667,22,11,"list2"
"box",3320,"[1, 1]","box_wood_original",2.05676666666667,22,12,"list2"
"cup",2656,"[1, 0.28]","cup_plastic_green",2.05676666666667,22,13,"list2"
"bottle",3329,"[1, 1]","bottle_plastic_blue",2.05676666666667,22,14,"list2"
"jacket",4512,"[0.66, 1]","jacket_leather_original",2.05676666666667,22,15,"list2"
"box",4152,"[1, 0.31]","box_cardboard_blue",2.05676666666667,22,16,"list2"
"plate",3313,"[1, 0.18]","plate_plastic_original",2.05676666666667,22,17,"list2"
"cup",4768,"[0.28, 0.08]","cup_metal_green",2.05676666666667,22,18,"list2"
"jacket",4796,"[0.88, 0.3]","jacket_denim_purple",2.05676666666667,22,19,"list2"
"spoon",6231,"[0.82, 0]","spoon_wood_green",2.05676666666667,22,20,"list2"
"bowl",2502,"[1, 1]","bowl_glass_original",2.05676666666667,22,21,"list2"
"table",2513,"[1, 1]","table_wood_original",2.05676666666667,22,22,"list2"
"spoon",6602,"[0.48, 1]","spoon_plastic_original",2.05676666666667,22,23,"list2"
"table",3039,"[0.73, 0.14]","table_metal_blue",2.05676666666667,22,24,"list2"
"bag",3801,"[1, 0]","bag_paper_green",2.05676666666667,22,25,"list2"
"bag",3672,"[1, 0.16]","bag_plastic_blue",2.05676666666667,22,26,"list2"
"boot",3929,"[0.7, 0.47]","boot_rubber_brown",2.05676666666667,22,27,"list2"
"chair",3481,"[1, 0]","chair_wood_purple",2.05676666666667,22,28,"list2"
